Invoice Date,Month,Season,Product Name,Brand,Price,Discount Price,Quantity,Revenue
2024-05-05,May,Summer,Olive Oil - Extra Virgin - Pack 2,BORGES,6.16,4.67,2000,9340
2024-11-18,November,Festive,Maggi Noodles - Pack 2,MAGGI,0.08,0.07,50,3.5
2024-12-21,December,Festive,Milk - Full Cream - Pack 2,Amul,0.04,0.03,350,10.5
2024-04-22,April,Summer,Potato - Pack 3,Fresho,102.76,68.96,0.25,17.24
2024-01-29,January,Winter,Olive Oil - Extra Virgin - Pack 2,BORGES,1.91,1.51,250,377.5
2024-10-05,October,Festive,Olive Oil - Extra Virgin - Pack 3,BORGES,2.97,2.06,250,515
2024-07-24,July,Monsoon,Tender Coconut Water,Fresho,0.65,0.47,350,164.5
2024-10-28,October,Festive,Detergent - Powder - Pack 3,Surf,226.88,167.78,0.5,83.89
2024-06-10,June,Summer,Bread - Whole Wheat - Pack 3,Harvest,70.15,55.98,12,671.76
2024-12-03,December,Festive,Paneer - Fresh,Milky Mist,396.3,301.43,0.5,150.715
2024-12-22,December,Festive,Eggs - Farm Tray - Pack 3,Fresho,5.64,4.12,4,16.48
2024-05-15,May,Summer,Potato,Fresho,106.8,74.33,0.5,37.165
2024-12-11,December,Festive,Potato - Pack 2,Fresho,46.56,36.71,3,110.13
2024-08-07,August,Monsoon,Olive Oil - Extra Virgin - Pack 2,BORGES,5.63,3.89,250,972.5
2024-07-23,July,Monsoon,Toothpaste - Colgate,Colgate,145.64,115.33,12,1383.96
2024-10-18,October,Festive,Tea - Leaf - Pack 3,Red Label,0.13,0.1,250,25
2024-02-16,February,Winter,Bread - Whole Wheat - Pack 2,Harvest,52.43,36.44,10,364.4
2024-02-26,February,Winter,Potato,Fresho,32.57,23.64,5,118.2
2024-10-21,October,Festive,Tomato,Fresho,42.01,33.56,0.5,16.78
2024-08-04,August,Monsoon,Tender Coconut Water,Fresho,0.21,0.18,250,45
2024-07-16,July,Monsoon,Potato - Pack 2,Fresho,34.55,23.04,2,46.08
2024-11-29,November,Festive,Onion,Fresho,50.72,39.98,0.25,9.995
2024-01-06,January,Winter,Eggs - Farm Tray - Pack 2,Fresho,20.73,18.44,10,184.4
2024-02-28,February,Winter,Onion,Fresho,120.11,85.59,2,171.18
2024-05-16,May,Summer,Milk - Full Cream,Amul,0.07,0.05,1000,50
2024-06-23,June,Summer,Olive Oil - Extra Virgin - Pack 3,BORGES,4.33,3.87,5000,19350
2024-11-25,November,Festive,Milk - Full Cream,Amul,0.08,0.06,350,21
2024-10-01,October,Festive,Olive Oil - Extra Virgin - Pack 2,BORGES,4.29,3.99,100,399
2024-05-14,May,Summer,Toothpaste - Colgate - Pack 2,Colgate,280.84,195.88,12,2350.56
2024-04-01,April,Summer,Carrot - Pack 2,Fresho,116.85,108.11,0.25,27.0275
2024-02-24,February,Winter,Potato - Pack 2,Fresho,65.18,44.23,5,221.15
2024-06-01,June,Summer,Toothpaste - Colgate,Colgate,234.36,219.46,4,877.84
2024-09-16,September,Monsoon,Potato - Pack 3,Fresho,86.88,76.08,2,152.16
2024-03-19,March,Winter,Frozen Peas,Fresho,0.34,0.28,750,210
2024-10-21,October,Festive,Detergent - Powder,Surf,265.12,180.59,5,902.95
2024-09-28,September,Monsoon,Potato - Pack 2,Fresho,74.64,57.27,0.25,14.3175
2024-06-14,June,Summer,Tomato,Fresho,52.99,47.76,0.25,11.94
2024-02-27,February,Winter,Bread - Whole Wheat - Pack 2,Harvest,67.1,55.17,2,110.34
2024-06-06,June,Summer,Carrot - Pack 2,Fresho,132.88,88.93,2,177.86
2024-10-31,October,Festive,Rice - Sona Masoori - Pack 3,BB Royal,147.45,113.46,3,340.38
2024-02-10,February,Winter,Detergent - Powder,Surf,200.41,138.18,0.25,34.545
2024-12-02,December,Festive,Frozen Peas - Pack 3,Fresho,0.24,0.2,2000,400
2024-09-29,September,Monsoon,Eggs - Farm Tray - Pack 2,Fresho,9.7,7.26,6,43.56
2024-03-06,March,Winter,Paneer - Fresh - Pack 2,Milky Mist,401.63,275.34,3,826.02
2024-03-25,March,Winter,Potato,Fresho,74.63,69.76,0.25,17.44
2024-12-17,December,Festive,Bread - Whole Wheat,Harvest,53.12,45.48,3,136.44
2024-04-18,April,Summer,Frozen Peas - Pack 3,Fresho,0.71,0.57,1500,855
2024-04-12,April,Summer,Onion,Fresho,118,86.7,0.25,21.675
2024-07-23,July,Monsoon,Carrot,Fresho,140.1,106.77,3,320.31
2024-07-10,July,Monsoon,Carrot,Fresho,52.63,43.35,2,86.7
2024-09-21,September,Monsoon,Onion - Pack 3,Fresho,95.75,70.92,1,70.92
2024-05-06,May,Summer,Bread - Whole Wheat - Pack 2,Harvest,68.26,55.37,24,1328.88
2024-11-13,November,Festive,Rice - Sona Masoori,BB Royal,164.03,141.83,5,709.15
2024-12-10,December,Festive,Carrot - Pack 2,Fresho,117.27,110.51,10,1105.1
2024-10-29,October,Festive,Frozen Peas - Pack 3,Fresho,0.98,0.79,750,592.5
2024-12-30,December,Festive,Detergent - Powder,Surf,194.78,138.7,10,1387
2024-04-27,April,Summer,Tomato,Fresho,73.19,63.64,2,127.28
2024-10-05,October,Festive,Tender Coconut Water - Pack 3,Fresho,0.27,0.19,750,142.5
2024-02-06,February,Winter,Eggs - Farm Tray - Pack 3,Fresho,4.98,4.38,4,17.52
2024-05-22,May,Summer,Bread - Whole Wheat,Harvest,81.04,54.57,5,272.85
2024-04-19,April,Summer,Paneer - Fresh - Pack 3,Milky Mist,577.38,403.86,1,403.86
2024-08-30,August,Monsoon,Bread - Whole Wheat,Harvest,36.59,24.61,1,24.61
2024-11-30,November,Festive,Carrot - Pack 3,Fresho,56.77,43.06,3,129.18
2024-04-07,April,Summer,Bread - Whole Wheat - Pack 2,Harvest,55.92,37.46,6,224.76
2024-12-24,December,Festive,Tomato - Pack 2,Fresho,49.91,36.46,2,72.92
2024-08-04,August,Monsoon,Onion,Fresho,56.08,51.85,3,155.55
2024-01-28,January,Winter,Detergent - Powder,Surf,249.92,225.95,1,225.95
2024-02-20,February,Winter,Milk - Full Cream - Pack 2,Amul,0.05,0.04,2000,80
2024-11-13,November,Festive,Tea - Leaf - Pack 2,Red Label,0.4,0.35,500,175
2024-02-25,February,Winter,Detergent - Powder,Surf,255.35,215.41,2,430.82
2024-10-25,October,Festive,Olive Oil - Extra Virgin - Pack 3,BORGES,2.54,2.22,100,222
2024-03-12,March,Winter,Toothpaste - Colgate - Pack 2,Colgate,230,184.15,6,1104.9
2024-05-22,May,Summer,Eggs - Farm Tray - Pack 2,Fresho,16.84,11.57,24,277.68
2024-02-08,February,Winter,Frozen Peas - Pack 3,Fresho,0.8,0.68,200,136
2024-02-20,February,Winter,Detergent - Powder,Surf,148.65,100.55,5,502.75
2024-12-09,December,Festive,Paneer - Fresh,Milky Mist,304.72,267.39,5,1336.95
2024-02-17,February,Winter,Onion - Pack 2,Fresho,117.98,89.04,0.25,22.26
2024-05-01,May,Summer,Potato - Pack 2,Fresho,95.78,73.17,2,146.34
2024-12-02,December,Festive,Frozen Peas,Fresho,0.6,0.52,1000,520
2024-07-24,July,Monsoon,Rice - Sona Masoori - Pack 3,BB Royal,198.61,138.19,5,690.95
2024-03-25,March,Winter,Tomato,Fresho,49.2,34.85,10,348.5
2024-11-19,November,Festive,Detergent - Powder - Pack 3,Surf,105.81,91.05,3,273.15
2024-11-28,November,Festive,Tomato - Pack 2,Fresho,82.46,61.06,2,122.12
2024-12-29,December,Festive,Olive Oil - Extra Virgin - Pack 3,BORGES,3.15,2.27,4000,9080
2024-09-06,September,Monsoon,Tender Coconut Water - Pack 2,Fresho,0.61,0.42,4000,1680
2024-11-07,November,Festive,Tender Coconut Water,Fresho,0.28,0.25,2000,500
2024-10-08,October,Festive,Maggi Noodles,MAGGI,0.16,0.14,1500,210
2024-02-01,February,Winter,Rice - Sona Masoori - Pack 2,BB Royal,127.85,108.94,1,108.94
2024-01-30,January,Winter,Potato - Pack 2,Fresho,40.92,34.07,5,170.35
2024-12-01,December,Festive,Olive Oil - Extra Virgin - Pack 2,BORGES,1.79,1.55,200,310
2024-09-28,September,Monsoon,Detergent - Powder - Pack 3,Surf,116.1,94.13,0.5,47.065
2024-12-05,December,Festive,Olive Oil - Extra Virgin - Pack 2,BORGES,3.04,2.66,1500,3990
2024-10-24,October,Festive,Tea - Leaf - Pack 3,Red Label,0.72,0.55,1000,550
2024-10-09,October,Festive,Detergent - Powder - Pack 3,Surf,272.64,184.94,0.25,46.235
2024-04-30,April,Summer,Milk - Full Cream - Pack 2,Amul,0.09,0.06,1000,60
2024-05-06,May,Summer,Tea - Leaf - Pack 3,Red Label,0.6,0.46,2000,920
2024-01-21,January,Winter,Toothpaste - Colgate - Pack 3,Colgate,224.42,191.35,4,765.4
2024-08-02,August,Monsoon,Maggi Noodles - Pack 2,MAGGI,0.28,0.21,50,10.5
2024-09-24,September,Monsoon,Tea - Leaf - Pack 2,Red Label,0.75,0.51,200,102
2024-11-03,November,Festive,Rice - Sona Masoori,BB Royal,183.97,139.76,3,419.28
2024-12-31,December,Festive,Detergent - Powder,Surf,245.99,221.4,0.25,55.35
2024-11-03,November,Festive,Tender Coconut Water - Pack 3,Fresho,0.09,0.07,250,17.5
2024-12-25,December,Festive,Eggs - Farm Tray - Pack 2,Fresho,12.85,9.23,12,110.76
2024-08-22,August,Monsoon,Tea - Leaf,Red Label,0.66,0.46,500,230
2024-10-10,October,Festive,Paneer - Fresh - Pack 2,Milky Mist,473.11,341.09,10,3410.9
2024-12-19,December,Festive,Potato,Fresho,82.71,59.01,1,59.01
2024-02-21,February,Winter,Rice - Sona Masoori - Pack 3,BB Royal,164.64,144.46,0.25,36.115
2024-10-28,October,Festive,Onion - Pack 2,Fresho,55.97,44.31,3,132.93
2024-03-08,March,Winter,Tomato - Pack 2,Fresho,53.52,45.93,3,137.79
2024-02-05,February,Winter,Bread - Whole Wheat - Pack 3,Harvest,65.64,44.24,3,132.72
2024-07-08,July,Monsoon,Frozen Peas,Fresho,0.89,0.79,100,79
2024-11-26,November,Festive,Milk - Full Cream - Pack 2,Amul,0.07,0.05,200,10
2024-06-03,June,Summer,Toothpaste - Colgate,Colgate,223.54,162.96,10,1629.6
2024-09-27,September,Monsoon,Potato - Pack 2,Fresho,36.49,26.11,3,78.33
2024-12-10,December,Festive,Detergent - Powder - Pack 2,Surf,332.91,255.17,3,765.51
2024-12-24,December,Festive,Onion - Pack 3,Fresho,75.34,69.69,1,69.69
2024-10-18,October,Festive,Rice - Sona Masoori - Pack 3,BB Royal,189.51,133.45,1,133.45
2024-10-14,October,Festive,Tomato,Fresho,76.27,53.6,2,107.2
2024-03-20,March,Winter,Frozen Peas,Fresho,0.63,0.46,200,92
2024-12-17,December,Festive,Rice - Sona Masoori - Pack 3,BB Royal,129.56,91.14,1,91.14
2024-11-13,November,Festive,Toothpaste - Colgate - Pack 2,Colgate,162.36,139.91,5,699.55
2024-12-21,December,Festive,Potato - Pack 3,Fresho,43.6,34.63,1,34.63
2024-09-15,September,Monsoon,Rice - Sona Masoori,BB Royal,97.98,77,5,385
2024-01-27,January,Winter,Milk - Full Cream - Pack 3,Amul,0.05,0.04,250,10
2024-11-24,November,Festive,Paneer - Fresh - Pack 2,Milky Mist,633.74,464.1,1,464.1
2024-01-23,January,Winter,Paneer - Fresh - Pack 3,Milky Mist,403.26,354.99,3,1064.97
2024-10-17,October,Festive,Paneer - Fresh,Milky Mist,482.14,346.57,5,1732.85
2024-05-14,May,Summer,Detergent - Powder - Pack 3,Surf,188.92,178.6,2,357.2
2024-11-26,November,Festive,Milk - Full Cream,Amul,0.05,0.04,350,14
2024-08-06,August,Monsoon,Detergent - Powder,Surf,237.32,184.12,3,552.36
2024-02-27,February,Winter,Tender Coconut Water,Fresho,0.27,0.2,2000,400
2024-12-28,December,Festive,Paneer - Fresh - Pack 3,Milky Mist,369.98,269.16,1,269.16
2024-01-19,January,Winter,Milk - Full Cream - Pack 3,Amul,0.07,0.05,200,10
2024-03-16,March,Winter,Detergent - Powder - Pack 3,Surf,161.78,127.6,0.5,63.8
2024-01-22,January,Winter,Frozen Peas - Pack 2,Fresho,0.92,0.62,2000,1240
2024-10-06,October,Festive,Eggs - Farm Tray,Fresho,8.64,7.64,5,38.2
2024-04-17,April,Summer,Onion,Fresho,69.15,46.46,5,232.3
2024-02-22,February,Winter,Olive Oil - Extra Virgin - Pack 3,BORGES,4.19,3.79,500,1895
2024-12-11,December,Festive,Maggi Noodles - Pack 2,MAGGI,0.58,0.44,100,44
2024-07-27,July,Monsoon,Maggi Noodles,MAGGI,0.26,0.23,1500,345
2024-03-20,March,Winter,Potato,Fresho,28.98,26.85,1,26.85
2024-05-01,May,Summer,Maggi Noodles - Pack 2,MAGGI,0.41,0.3,100,30
2024-03-31,March,Winter,Carrot,Fresho,54.38,46.81,0.5,23.405
2024-01-13,January,Winter,Olive Oil - Extra Virgin - Pack 3,BORGES,4.82,3.43,1000,3430
2024-11-12,November,Festive,Eggs - Farm Tray - Pack 3,Fresho,14.72,10.09,24,242.16
2024-07-29,July,Monsoon,Milk - Full Cream - Pack 2,Amul,0.07,0.06,4000,240
2024-05-07,May,Summer,Rice - Sona Masoori,BB Royal,164.93,144.23,0.25,36.0575
2024-12-29,December,Festive,Eggs - Farm Tray - Pack 2,Fresho,16.33,14.57,5,72.85
2024-10-05,October,Festive,Carrot - Pack 3,Fresho,64.8,52.52,3,157.56
2024-04-23,April,Summer,Detergent - Powder - Pack 3,Surf,166.29,144.08,3,432.24
2024-11-28,November,Festive,Frozen Peas,Fresho,0.9,0.72,500,360
2024-10-30,October,Festive,Detergent - Powder - Pack 2,Surf,337.24,253.32,0.5,126.66
2024-12-24,December,Festive,Detergent - Powder,Surf,224.73,173.53,10,1735.3
2024-11-12,November,Festive,Rice - Sona Masoori - Pack 3,BB Royal,141.68,130.93,0.5,65.465
2024-10-09,October,Festive,Carrot - Pack 2,Fresho,124.47,87.6,10,876
2024-05-22,May,Summer,Milk - Full Cream,Amul,0.04,0.03,1500,45
2024-12-05,December,Festive,Detergent - Powder - Pack 3,Surf,241.85,190.1,2,380.2
2024-12-08,December,Festive,Potato - Pack 3,Fresho,101.29,73.37,3,220.11
2024-10-04,October,Festive,Toothpaste - Colgate - Pack 3,Colgate,55.37,48.02,5,240.1
2024-11-03,November,Festive,Detergent - Powder - Pack 2,Surf,405.64,299.91,10,2999.1
2024-11-03,November,Festive,Paneer - Fresh - Pack 3,Milky Mist,484.19,428.93,3,1286.79
2024-12-16,December,Festive,Olive Oil - Extra Virgin,BORGES,3.26,2.77,5000,13850
2024-06-09,June,Summer,Toothpaste - Colgate - Pack 2,Colgate,301.01,236.78,10,2367.8
2024-09-18,September,Monsoon,Potato - Pack 3,Fresho,53.15,44.5,2,89
2024-12-13,December,Festive,Tomato,Fresho,54.27,39.84,10,398.4
2024-10-06,October,Festive,Milk - Full Cream,Amul,0.08,0.06,5000,300
2024-01-01,January,Winter,Olive Oil - Extra Virgin - Pack 3,BORGES,3.36,2.82,100,282
2024-04-10,April,Summer,Milk - Full Cream - Pack 3,Amul,0.07,0.06,200,12
2024-10-09,October,Festive,Maggi Noodles - Pack 3,MAGGI,0.44,0.34,50,17
2024-06-18,June,Summer,Tea - Leaf - Pack 3,Red Label,0.18,0.15,50,7.5
2024-03-04,March,Winter,Maggi Noodles - Pack 2,MAGGI,0.43,0.38,1500,570
2024-06-02,June,Summer,Olive Oil - Extra Virgin - Pack 3,BORGES,5.87,4.71,250,1177.5
2024-07-28,July,Monsoon,Detergent - Powder - Pack 3,Surf,115.15,86.35,2,172.7
2024-12-29,December,Festive,Paneer - Fresh,Milky Mist,309.7,293.23,5,1466.15
2024-10-17,October,Festive,Tea - Leaf - Pack 3,Red Label,0.24,0.17,100,17
2024-12-25,December,Festive,Tomato - Pack 2,Fresho,60.61,54.15,2,108.3
2024-03-30,March,Winter,Frozen Peas,Fresho,0.62,0.53,500,265
2024-06-03,June,Summer,Maggi Noodles,MAGGI,0.18,0.14,1500,210
2024-01-01,January,Winter,Tea - Leaf,Red Label,0.72,0.56,250,140
2024-10-27,October,Festive,Tomato - Pack 3,Fresho,52.61,37.43,10,374.3
2024-06-13,June,Summer,Tea - Leaf - Pack 3,Red Label,0.72,0.56,750,420
2024-08-14,August,Monsoon,Onion,Fresho,105.2,80.25,1,80.25
2024-09-18,September,Monsoon,Detergent - Powder,Surf,226,178.24,2,356.48
2024-03-27,March,Winter,Bread - Whole Wheat,Harvest,61.61,50.51,24,1212.24
2024-05-25,May,Summer,Milk - Full Cream - Pack 3,Amul,0.07,0.06,350,21
2024-06-20,June,Summer,Tea - Leaf,Red Label,0.64,0.52,250,130
2024-10-31,October,Festive,Milk - Full Cream - Pack 3,Amul,0.07,0.05,1500,75
2024-04-25,April,Summer,Tea - Leaf,Red Label,0.34,0.32,200,64
2024-03-16,March,Winter,Maggi Noodles - Pack 3,MAGGI,0.64,0.44,750,330
2024-11-01,November,Festive,Tender Coconut Water - Pack 2,Fresho,0.36,0.29,200,58
2024-02-07,February,Winter,Frozen Peas - Pack 2,Fresho,0.59,0.44,200,88
2024-04-09,April,Summer,Carrot,Fresho,119.87,102.52,0.25,25.63
2024-07-15,July,Monsoon,Rice - Sona Masoori,BB Royal,159.78,111.48,5,557.4
2024-05-04,May,Summer,Detergent - Powder - Pack 2,Surf,386.18,289.91,10,2899.1
2024-12-28,December,Festive,Maggi Noodles - Pack 2,MAGGI,0.04,0.04,2000,80
2024-10-14,October,Festive,Rice - Sona Masoori - Pack 2,BB Royal,207.52,149.72,5,748.6
2024-04-22,April,Summer,Tender Coconut Water,Fresho,0.53,0.39,200,78
2024-12-29,December,Festive,Tomato,Fresho,81.9,56.23,2,112.46
2024-01-26,January,Winter,Onion - Pack 3,Fresho,58.01,47.6,1,47.6
2024-03-03,March,Winter,Carrot,Fresho,119.94,85.27,0.5,42.635
2024-08-25,August,Monsoon,Carrot - Pack 2,Fresho,108.48,88.76,0.5,44.38
2024-06-11,June,Summer,Detergent - Powder - Pack 2,Surf,312.95,280.82,0.5,140.41
2024-08-14,August,Monsoon,Tender Coconut Water - Pack 3,Fresho,0.19,0.16,5000,800
2024-09-15,September,Monsoon,Onion,Fresho,113.91,84.07,10,840.7
2024-08-16,August,Monsoon,Carrot - Pack 2,Fresho,172.79,115.62,0.25,28.905
2024-08-31,August,Monsoon,Milk - Full Cream - Pack 2,Amul,0.08,0.06,5000,300
2024-05-06,May,Summer,Tender Coconut Water - Pack 3,Fresho,0.17,0.14,500,70
2024-05-21,May,Summer,Maggi Noodles,MAGGI,0.17,0.13,100,13
2024-09-23,September,Monsoon,Toothpaste - Colgate,Colgate,411.31,347.73,5,1738.65
2024-05-02,May,Summer,Detergent - Powder,Surf,117.7,81.78,2,163.56
2024-10-10,October,Festive,Frozen Peas - Pack 3,Fresho,1.27,0.92,50,46
2024-04-30,April,Summer,Milk - Full Cream,Amul,0.06,0.05,350,17.5
2024-11-10,November,Festive,Rice - Sona Masoori - Pack 2,BB Royal,157.44,114.55,0.5,57.275
2024-02-11,February,Winter,Detergent - Powder,Surf,317.83,218.21,5,1091.05
2024-10-30,October,Festive,Rice - Sona Masoori - Pack 3,BB Royal,134.99,126.75,0.25,31.6875
2024-10-20,October,Festive,Bread - Whole Wheat - Pack 3,Harvest,27.93,23.61,3,70.83
2024-02-02,February,Winter,Frozen Peas - Pack 3,Fresho,0.24,0.22,1000,220
2024-06-18,June,Summer,Olive Oil - Extra Virgin - Pack 2,BORGES,4.56,3.12,750,2340
2024-07-31,July,Monsoon,Carrot - Pack 2,Fresho,138.85,117.39,1,117.39
2024-11-23,November,Festive,Bread - Whole Wheat,Harvest,41.98,38.73,2,77.46
2024-12-14,December,Festive,Eggs - Farm Tray - Pack 3,Fresho,27.51,19.48,10,194.8
2024-01-11,January,Winter,Bread - Whole Wheat - Pack 3,Harvest,54.53,51.63,2,103.26
2024-07-13,July,Monsoon,Olive Oil - Extra Virgin - Pack 2,BORGES,3.81,2.82,200,564
2024-06-29,June,Summer,Detergent - Powder - Pack 2,Surf,384.38,260.93,1,260.93
2024-11-19,November,Festive,Tomato,Fresho,61.42,46.22,5,231.1
2024-08-02,August,Monsoon,Olive Oil - Extra Virgin - Pack 3,BORGES,5.36,4.66,750,3495
2024-04-22,April,Summer,Potato - Pack 2,Fresho,88.43,74.56,5,372.8
2024-05-19,May,Summer,Tea - Leaf - Pack 3,Red Label,0.19,0.13,100,13
2024-01-15,January,Winter,Milk - Full Cream - Pack 2,Amul,0.03,0.03,1500,45
2024-12-25,December,Festive,Olive Oil - Extra Virgin - Pack 2,BORGES,3.1,2.55,250,637.5
2024-07-26,July,Monsoon,Frozen Peas - Pack 3,Fresho,0.62,0.45,2000,900
2024-08-27,August,Monsoon,Carrot,Fresho,141.6,106.7,2,213.4
2024-09-30,September,Monsoon,Paneer - Fresh - Pack 3,Milky Mist,331.51,265.18,0.25,66.295
2024-11-20,November,Festive,Paneer - Fresh,Milky Mist,312.21,229.81,10,2298.1
2024-01-14,January,Winter,Olive Oil - Extra Virgin - Pack 2,BORGES,2.99,2.43,5000,12150
2024-11-24,November,Festive,Eggs - Farm Tray,Fresho,27.25,19.18,2,38.36
2024-11-29,November,Festive,Potato - Pack 3,Fresho,77.14,58.5,5,292.5
2024-11-03,November,Festive,Onion - Pack 2,Fresho,49.37,44.61,0.25,11.1525
2024-10-28,October,Festive,Toothpaste - Colgate,Colgate,85.43,61.27,4,245.08
2024-06-21,June,Summer,Eggs - Farm Tray - Pack 2,Fresho,19.64,17.01,4,68.04
2024-07-13,July,Monsoon,Carrot,Fresho,92.82,62.18,10,621.8
2024-11-23,November,Festive,Tomato - Pack 3,Fresho,66.99,60.93,3,182.79
2024-10-11,October,Festive,Onion - Pack 2,Fresho,72.33,51.49,0.5,25.745
2024-01-27,January,Winter,Toothpaste - Colgate - Pack 2,Colgate,52.5,44.89,6,269.34
2024-06-28,June,Summer,Tomato - Pack 3,Fresho,67.43,48.67,5,243.35
2024-10-09,October,Festive,Maggi Noodles,MAGGI,0.5,0.39,1500,585
2024-01-21,January,Winter,Tomato,Fresho,72.23,67.54,2,135.08
2024-05-06,May,Summer,Detergent - Powder,Surf,268.23,180.77,3,542.31
2024-10-03,October,Festive,Potato,Fresho,50.07,45.58,2,91.16
2024-05-02,May,Summer,Frozen Peas,Fresho,0.13,0.12,1500,180
2024-12-25,December,Festive,Toothpaste - Colgate - Pack 3,Colgate,70.85,60.36,3,181.08
2024-10-28,October,Festive,Rice - Sona Masoori - Pack 2,BB Royal,108.01,81.9,3,245.7
2024-05-11,May,Summer,Milk - Full Cream,Amul,0.06,0.05,1500,75
2024-03-26,March,Winter,Detergent - Powder - Pack 3,Surf,253.14,174.62,0.25,43.655
2024-02-28,February,Winter,Tea - Leaf - Pack 3,Red Label,0.63,0.51,750,382.5
2024-03-24,March,Winter,Frozen Peas - Pack 2,Fresho,0.42,0.35,100,35
2024-02-25,February,Winter,Paneer - Fresh - Pack 2,Milky Mist,513.01,406.05,1,406.05
2024-06-08,June,Summer,Potato - Pack 3,Fresho,27.98,25.59,10,255.9
2024-07-11,July,Monsoon,Frozen Peas - Pack 3,Fresho,1.07,0.82,750,615
2024-12-31,December,Festive,Toothpaste - Colgate - Pack 2,Colgate,289.38,214.12,24,5138.88
2024-12-15,December,Festive,Tea - Leaf - Pack 3,Red Label,0.78,0.53,750,397.5
2024-05-04,May,Summer,Tender Coconut Water,Fresho,0.65,0.49,100,49
2024-11-08,November,Festive,Bread - Whole Wheat - Pack 2,Harvest,49.4,43.12,2,86.24
2024-03-02,March,Winter,Detergent - Powder,Surf,321.69,266.4,2,532.8
2024-01-22,January,Winter,Olive Oil - Extra Virgin - Pack 3,BORGES,1.72,1.46,750,1095
2024-11-24,November,Festive,Eggs - Farm Tray - Pack 3,Fresho,26.08,17.52,10,175.2
2024-02-05,February,Winter,Rice - Sona Masoori,BB Royal,144.01,106.99,3,320.97
2024-06-23,June,Summer,Detergent - Powder - Pack 3,Surf,163.52,119.69,1,119.69
2024-11-23,November,Festive,Milk - Full Cream - Pack 2,Amul,0.05,0.04,750,30
2024-02-24,February,Winter,Carrot,Fresho,63.04,45.57,3,136.71
2024-07-04,July,Monsoon,Onion - Pack 2,Fresho,65.93,52.57,0.25,13.1425
2024-08-23,August,Monsoon,Carrot - Pack 2,Fresho,136.78,97.73,1,97.73
2024-08-10,August,Monsoon,Toothpaste - Colgate,Colgate,351.5,313.84,2,627.68
2024-12-06,December,Festive,Rice - Sona Masoori,BB Royal,94.26,69.93,0.25,17.4825
2024-05-18,May,Summer,Maggi Noodles - Pack 2,MAGGI,0.25,0.22,1500,330
